name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;307;0;399;3073;1345;3073;1437;0
header;210;203;210;239;1850;239;1850;203
A;1019;261;1019;288;1040;288;1040;261
B;1024;940;1024;968;1044;968;1044;940
C;1026;1620;1026;1648;1046;1648;1046;1620
A;748;1871;748;1873;756;1873;756;1871
A;390;1908;390;1909;390;1909;390;1908
B;925;1927;925;1945;939;1945;939;1927
D;1033;2297;1033;2327;1056;2327;1056;2297
C;1044;2536;1044;2563;1069;2563;1069;2536
B;1209;2659;1209;2678;1223;2678;1223;2659
B;1205;2695;1205;2713;1220;2713;1220;2695
