name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;338;0;569;3077;1791;3077;1883;0
header;240;119;240;139;1854;139;1854;119
A;431;118;431;118;433;118;433;118
C;753;407;753;464;793;464;793;407
B;965;407;965;464;1005;464;1005;407
B;1168;409;1168;464;1209;464;1209;409
A;783;540;783;540;784;540;784;540
A;1349;668;1349;731;1401;731;1401;668
D;685;669;685;733;734;733;734;669
A;956;670;956;733;1009;733;1009;670
B;754;671;754;732;798;732;798;671
D;1090;671;1090;734;1139;734;1139;671
B;816;672;816;733;862;733;862;672
B;882;672;882;734;934;734;934;672
D;1105;1464;1105;1490;1142;1490;1142;1464
A;1106;1508;1106;1509;1106;1509;1106;1508
A;1407;1621;1407;1628;1414;1628;1414;1621
A;1050;1734;1050;1734;1050;1734;1050;1734
